brain_type,seed,frames,cat_count,dirt_collected,collection_rate,cat_freeze_count,battery_depletions
subsumption,0,1500,0,86,0.057333,0,0
subsumption,1,1500,0,91,0.060667,0,0
subsumption,2,1500,0,84,0.056,0,0
subsumption,3,1500,0,95,0.063333,0,0
subsumption,4,1500,0,101,0.067333,0,0
subsumption,5,1500,0,73,0.048667,0,0
subsumption,6,1500,0,99,0.066,0,0
subsumption,7,1500,0,86,0.057333,0,0
subsumption,8,1500,0,88,0.058667,0,0
subsumption,9,1500,0,90,0.06,0,0
subsumption,0,1500,2,79,0.052667,0,0
subsumption,1,1500,2,98,0.065333,0,0
subsumption,2,1500,2,81,0.054,0,0
subsumption,3,1500,2,68,0.045333,0,0
subsumption,4,1500,2,71,0.047333,0,0
subsumption,5,1500,2,78,0.052,0,0
subsumption,6,1500,2,95,0.063333,0,0
subsumption,7,1500,2,95,0.063333,0,0
subsumption,8,1500,2,89,0.059333,0,0
subsumption,9,1500,2,84,0.056,0,0
subsumption,0,1500,4,60,0.04,0,0
subsumption,1,1500,4,75,0.05,0,0
subsumption,2,1500,4,41,0.027333,0,0
subsumption,3,1500,4,82,0.054667,0,0
subsumption,4,1500,4,78,0.052,0,0
subsumption,5,1500,4,87,0.058,0,0
subsumption,6,1500,4,84,0.056,0,0
subsumption,7,1500,4,85,0.056667,0,0
subsumption,8,1500,4,76,0.050667,0,0
subsumption,9,1500,4,85,0.056667,0,0
subsumption,0,1500,6,60,0.04,0,0
subsumption,1,1500,6,64,0.042667,1,0
subsumption,2,1500,6,48,0.032,2,1
subsumption,3,1500,6,75,0.05,0,0
subsumption,4,1500,6,56,0.037333,1,0
subsumption,5,1500,6,72,0.048,0,0
subsumption,6,1500,6,97,0.064667,0,0
subsumption,7,1500,6,68,0.045333,1,0
subsumption,8,1500,6,57,0.038,0,0
subsumption,9,1500,6,91,0.060667,0,0
subsumption,0,1500,8,62,0.041333,0,0
subsumption,1,1500,8,43,0.028667,2,0
subsumption,2,1500,8,46,0.030667,0,0
subsumption,3,1500,8,62,0.041333,1,0
subsumption,4,1500,8,56,0.037333,1,0
subsumption,5,1500,8,51,0.034,0,0
subsumption,6,1500,8,57,0.038,0,0
subsumption,7,1500,8,57,0.038,1,0
subsumption,8,1500,8,66,0.044,0,0
subsumption,9,1500,8,63,0.042,0,0
potential_field,0,1500,0,63,0.042,0,0
potential_field,1,1500,0,84,0.056,0,0
potential_field,2,1500,0,73,0.048667,0,1
potential_field,3,1500,0,65,0.043333,0,0
potential_field,4,1500,0,75,0.05,0,0
potential_field,5,1500,0,91,0.060667,0,0
potential_field,6,1500,0,79,0.052667,0,0
potential_field,7,1500,0,62,0.041333,0,0
potential_field,8,1500,0,69,0.046,0,0
potential_field,9,1500,0,73,0.048667,0,0
potential_field,0,1500,2,61,0.040667,0,0
potential_field,1,1500,2,82,0.054667,1,0
potential_field,2,1500,2,47,0.031333,0,1
potential_field,3,1500,2,73,0.048667,0,0
potential_field,4,1500,2,71,0.047333,2,1
potential_field,5,1500,2,91,0.060667,0,0
potential_field,6,1500,2,67,0.044667,0,0
potential_field,7,1500,2,46,0.030667,1,1
potential_field,8,1500,2,61,0.040667,0,0
potential_field,9,1500,2,75,0.05,1,0
potential_field,0,1500,4,67,0.044667,2,0
potential_field,1,1500,4,69,0.046,1,0
potential_field,2,1500,4,53,0.035333,1,0
potential_field,3,1500,4,71,0.047333,2,0
potential_field,4,1500,4,60,0.04,0,0
potential_field,5,1500,4,77,0.051333,1,0
potential_field,6,1500,4,83,0.055333,0,0
potential_field,7,1500,4,73,0.048667,7,0
potential_field,8,1500,4,79,0.052667,1,0
potential_field,9,1500,4,59,0.039333,3,0
potential_field,0,1500,6,62,0.041333,6,0
potential_field,1,1500,6,67,0.044667,5,0
potential_field,2,1500,6,59,0.039333,9,0
potential_field,3,1500,6,61,0.040667,4,0
potential_field,4,1500,6,50,0.033333,5,0
potential_field,5,1500,6,70,0.046667,5,0
potential_field,6,1500,6,72,0.048,3,0
potential_field,7,1500,6,59,0.039333,6,0
potential_field,8,1500,6,78,0.052,6,0
potential_field,9,1500,6,43,0.028667,4,0
potential_field,0,1500,8,75,0.05,22,0
potential_field,1,1500,8,81,0.054,10,0
potential_field,2,1500,8,54,0.036,16,0
potential_field,3,1500,8,74,0.049333,5,0
potential_field,4,1500,8,49,0.032667,2,0
potential_field,5,1500,8,70,0.046667,6,0
potential_field,6,1500,8,77,0.051333,19,0
potential_field,7,1500,8,69,0.046,10,0
potential_field,8,1500,8,69,0.046,2,0
potential_field,9,1500,8,56,0.037333,7,0
qlearning,0,1500,0,87,0.058,0,0
qlearning,1,1500,0,95,0.063333,0,0
qlearning,2,1500,0,71,0.047333,0,0
qlearning,3,1500,0,115,0.076667,0,0
qlearning,4,1500,0,92,0.061333,0,0
qlearning,5,1500,0,76,0.050667,0,0
qlearning,6,1500,0,102,0.068,0,0
qlearning,7,1500,0,75,0.05,0,0
qlearning,8,1500,0,82,0.054667,0,0
qlearning,9,1500,0,101,0.067333,0,0
qlearning,0,1500,2,90,0.06,0,0
qlearning,1,1500,2,91,0.060667,0,1
qlearning,2,1500,2,95,0.063333,0,0
qlearning,3,1500,2,91,0.060667,0,0
qlearning,4,1500,2,71,0.047333,0,0
qlearning,5,1500,2,102,0.068,0,0
qlearning,6,1500,2,90,0.06,0,0
qlearning,7,1500,2,81,0.054,0,0
qlearning,8,1500,2,83,0.055333,0,0
qlearning,9,1500,2,100,0.066667,0,0
qlearning,0,1500,4,49,0.032667,0,1
qlearning,1,1500,4,81,0.054,2,0
qlearning,2,1500,4,54,0.036,0,0
qlearning,3,1500,4,92,0.061333,0,0
qlearning,4,1500,4,81,0.054,2,0
qlearning,5,1500,4,81,0.054,0,0
qlearning,6,1500,4,113,0.075333,0,0
qlearning,7,1500,4,70,0.046667,0,0
qlearning,8,1500,4,91,0.060667,1,0
qlearning,9,1500,4,86,0.057333,0,0
qlearning,0,1500,6,70,0.046667,0,0
qlearning,1,1500,6,84,0.056,1,0
qlearning,2,1500,6,74,0.049333,0,0
qlearning,3,1500,6,95,0.063333,2,0
qlearning,4,1500,6,56,0.037333,2,0
qlearning,5,1500,6,79,0.052667,0,0
qlearning,6,1500,6,87,0.058,0,0
qlearning,7,1500,6,81,0.054,1,0
qlearning,8,1500,6,58,0.038667,1,0
qlearning,9,1500,6,79,0.052667,0,0
qlearning,0,1500,8,51,0.034,1,0
qlearning,1,1500,8,66,0.044,5,0
qlearning,2,1500,8,68,0.045333,3,0
qlearning,3,1500,8,75,0.05,1,0
qlearning,4,1500,8,67,0.044667,2,0
qlearning,5,1500,8,66,0.044,2,0
qlearning,6,1500,8,98,0.065333,0,0
qlearning,7,1500,8,53,0.035333,1,0
qlearning,8,1500,8,86,0.057333,4,0
qlearning,9,1500,8,57,0.038,1,0
