brain_type,seed,frames,dirt_collected,collection_rate,cat_freeze_count,battery_depletions
subsumption,0,1500,60,0.04,0,0
subsumption,1,1500,75,0.05,0,0
subsumption,2,1500,41,0.027333,0,0
subsumption,3,1500,82,0.054667,0,0
subsumption,4,1500,78,0.052,0,0
subsumption,5,1500,87,0.058,0,0
subsumption,6,1500,84,0.056,0,0
subsumption,7,1500,85,0.056667,0,0
subsumption,8,1500,76,0.050667,0,0
subsumption,9,1500,85,0.056667,0,0
potential_field,0,1500,67,0.044667,2,0
potential_field,1,1500,69,0.046,1,0
potential_field,2,1500,53,0.035333,1,0
potential_field,3,1500,71,0.047333,2,0
potential_field,4,1500,60,0.04,0,0
potential_field,5,1500,77,0.051333,1,0
potential_field,6,1500,83,0.055333,0,0
potential_field,7,1500,73,0.048667,7,0
potential_field,8,1500,79,0.052667,1,0
potential_field,9,1500,59,0.039333,3,0
qlearning,0,1500,49,0.032667,0,1
qlearning,1,1500,81,0.054,2,0
qlearning,2,1500,54,0.036,0,0
qlearning,3,1500,92,0.061333,0,0
qlearning,4,1500,81,0.054,2,0
qlearning,5,1500,81,0.054,0,0
qlearning,6,1500,113,0.075333,0,0
qlearning,7,1500,70,0.046667,0,0
qlearning,8,1500,91,0.060667,1,0
qlearning,9,1500,86,0.057333,0,0
