brain_type,config,seed,frames,dirt_collected,collection_rate,cat_freeze_count,battery_depletions
subsumption,standard,0,1500,60,0.04,0,0
subsumption,standard,1,1500,75,0.05,0,0
subsumption,standard,2,1500,41,0.027333,0,0
subsumption,standard,3,1500,82,0.054667,0,0
subsumption,standard,4,1500,78,0.052,0,0
subsumption,standard,5,1500,87,0.058,0,0
subsumption,standard,6,1500,84,0.056,0,0
subsumption,standard,7,1500,85,0.056667,0,0
subsumption,standard,8,1500,76,0.050667,0,0
subsumption,standard,9,1500,85,0.056667,0,0
potential_field,standard,0,1500,67,0.044667,2,0
potential_field,standard,1,1500,69,0.046,1,0
potential_field,standard,2,1500,53,0.035333,1,0
potential_field,standard,3,1500,71,0.047333,2,0
potential_field,standard,4,1500,60,0.04,0,0
potential_field,standard,5,1500,77,0.051333,1,0
potential_field,standard,6,1500,83,0.055333,0,0
potential_field,standard,7,1500,73,0.048667,7,0
potential_field,standard,8,1500,79,0.052667,1,0
potential_field,standard,9,1500,59,0.039333,3,0
qlearning,standard,0,1500,49,0.032667,0,1
qlearning,standard,1,1500,81,0.054,2,0
qlearning,standard,2,1500,54,0.036,0,0
qlearning,standard,3,1500,92,0.061333,0,0
qlearning,standard,4,1500,81,0.054,2,0
qlearning,standard,5,1500,81,0.054,0,0
qlearning,standard,6,1500,113,0.075333,0,0
qlearning,standard,7,1500,70,0.046667,0,0
qlearning,standard,8,1500,91,0.060667,1,0
qlearning,standard,9,1500,86,0.057333,0,0
subsumption,single_bot,0,1500,34,0.022667,0,0
subsumption,single_bot,1,1500,53,0.035333,0,0
subsumption,single_bot,2,1500,13,0.008667,0,0
subsumption,single_bot,3,1500,34,0.022667,0,0
subsumption,single_bot,4,1500,32,0.021333,0,0
subsumption,single_bot,5,1500,30,0.02,0,0
subsumption,single_bot,6,1500,30,0.02,0,0
subsumption,single_bot,7,1500,32,0.021333,0,0
subsumption,single_bot,8,1500,26,0.017333,0,0
subsumption,single_bot,9,1500,24,0.016,0,0
potential_field,single_bot,0,1500,24,0.016,0,0
potential_field,single_bot,1,1500,21,0.014,3,0
potential_field,single_bot,2,1500,19,0.012667,0,0
potential_field,single_bot,3,1500,36,0.024,4,0
potential_field,single_bot,4,1500,20,0.013333,0,0
potential_field,single_bot,5,1500,27,0.018,4,0
potential_field,single_bot,6,1500,33,0.022,0,0
potential_field,single_bot,7,1500,24,0.016,1,0
potential_field,single_bot,8,1500,24,0.016,0,0
potential_field,single_bot,9,1500,28,0.018667,0,0
qlearning,single_bot,0,1500,32,0.021333,0,0
qlearning,single_bot,1,1500,22,0.014667,0,0
qlearning,single_bot,2,1500,40,0.026667,0,0
qlearning,single_bot,3,1500,45,0.03,0,0
qlearning,single_bot,4,1500,30,0.02,0,0
qlearning,single_bot,5,1500,33,0.022,0,0
qlearning,single_bot,6,1500,39,0.026,0,0
qlearning,single_bot,7,1500,36,0.024,0,0
qlearning,single_bot,8,1500,32,0.021333,0,0
qlearning,single_bot,9,1500,49,0.032667,1,0
subsumption,many_bots,0,1500,81,0.054,0,2
subsumption,many_bots,1,1500,93,0.062,1,0
subsumption,many_bots,2,1500,89,0.059333,1,0
subsumption,many_bots,3,1500,100,0.066667,0,0
subsumption,many_bots,4,1500,88,0.058667,0,1
subsumption,many_bots,5,1500,96,0.064,0,1
subsumption,many_bots,6,1500,131,0.087333,0,0
subsumption,many_bots,7,1500,97,0.064667,0,0
subsumption,many_bots,8,1500,86,0.057333,0,1
subsumption,many_bots,9,1500,96,0.064,0,1
potential_field,many_bots,0,1500,67,0.044667,1,2
potential_field,many_bots,1,1500,117,0.078,9,0
potential_field,many_bots,2,1500,65,0.043333,4,0
potential_field,many_bots,3,1500,89,0.059333,3,0
potential_field,many_bots,4,1500,91,0.060667,5,1
potential_field,many_bots,5,1500,87,0.058,1,2
potential_field,many_bots,6,1500,96,0.064,4,0
potential_field,many_bots,7,1500,90,0.06,14,1
potential_field,many_bots,8,1500,109,0.072667,4,1
potential_field,many_bots,9,1500,84,0.056,2,1
qlearning,many_bots,0,1500,118,0.078667,1,0
qlearning,many_bots,1,1500,94,0.062667,0,1
qlearning,many_bots,2,1500,98,0.065333,1,0
qlearning,many_bots,3,1500,130,0.086667,0,1
qlearning,many_bots,4,1500,88,0.058667,1,1
qlearning,many_bots,5,1500,105,0.07,1,0
qlearning,many_bots,6,1500,140,0.093333,1,0
qlearning,many_bots,7,1500,110,0.073333,0,0
qlearning,many_bots,8,1500,47,0.031333,0,4
qlearning,many_bots,9,1500,92,0.061333,0,1
subsumption,hard_mode,0,1500,20,0.013333,1,0
subsumption,hard_mode,1,1500,19,0.012667,0,0
subsumption,hard_mode,2,1500,21,0.014,0,0
subsumption,hard_mode,3,1500,29,0.019333,0,0
subsumption,hard_mode,4,1500,25,0.016667,0,0
subsumption,hard_mode,5,1500,31,0.020667,0,0
subsumption,hard_mode,6,1500,20,0.013333,0,0
subsumption,hard_mode,7,1500,23,0.015333,0,0
subsumption,hard_mode,8,1500,31,0.020667,0,0
subsumption,hard_mode,9,1500,17,0.011333,1,0
potential_field,hard_mode,0,1500,26,0.017333,2,0
potential_field,hard_mode,1,1500,26,0.017333,2,0
potential_field,hard_mode,2,1500,11,0.007333,4,0
potential_field,hard_mode,3,1500,36,0.024,7,0
potential_field,hard_mode,4,1500,18,0.012,2,0
