episode,total_reward,dirt_collected,epsilon
0,80.0,53,0.9952
1,60.0,51,0.9905
2,300.0,75,0.9857
3,30.0,48,0.9809
4,180.0,63,0.9761
5,160.0,61,0.9714
6,350.0,80,0.9666
7,360.0,81,0.9618
8,80.0,53,0.957
9,80.0,55,0.9523
10,540.0,99,0.9475
11,-30.0,42,0.9427
12,220.0,67,0.9379
13,180.0,63,0.9332
14,340.0,79,0.9284
15,190.0,64,0.9236
16,130.0,58,0.9188
17,510.0,96,0.9141
18,110.0,56,0.9093
19,150.0,60,0.9045
20,230.0,68,0.8997
21,260.0,71,0.895
22,310.0,76,0.8902
23,-190.0,26,0.8854
24,160.0,61,0.8807
25,400.0,85,0.8759
26,110.0,56,0.8711
27,240.0,69,0.8663
28,140.0,59,0.8616
29,350.0,80,0.8568
30,220.0,67,0.852
31,420.0,87,0.8472
32,200.0,65,0.8425
33,60.0,51,0.8377
34,220.0,67,0.8329
35,320.0,77,0.8281
36,240.0,69,0.8234
37,120.0,57,0.8186
38,-10.0,44,0.8138
39,380.0,83,0.809
40,280.0,73,0.8043
41,30.0,48,0.7995
42,100.0,55,0.7947
43,170.0,62,0.7899
44,410.0,86,0.7852
45,400.0,85,0.7804
46,-40.0,41,0.7756
47,230.0,68,0.7709
48,200.0,65,0.7661
49,330.0,78,0.7613
50,300.0,75,0.7565
51,180.0,63,0.7518
52,290.0,74,0.747
53,10.0,46,0.7422
54,290.0,74,0.7374
55,320.0,77,0.7327
56,100.0,55,0.7279
57,300.0,75,0.7231
58,50.0,50,0.7183
59,250.0,70,0.7136
60,240.0,69,0.7088
61,160.0,61,0.704
62,220.0,67,0.6992
63,350.0,80,0.6945
64,250.0,70,0.6897
65,420.0,87,0.6849
66,230.0,68,0.6802
67,-30.0,42,0.6754
68,120.0,57,0.6706
69,160.0,61,0.6658
70,250.0,70,0.6611
71,330.0,78,0.6563
72,330.0,78,0.6515
73,210.0,66,0.6467
74,170.0,62,0.642
75,-40.0,41,0.6372
76,10.0,46,0.6324
77,230.0,68,0.6276
78,240.0,69,0.6229
79,440.0,89,0.6181
80,110.0,56,0.6133
81,270.0,72,0.6085
82,460.0,91,0.6038
83,370.0,82,0.599
84,300.0,75,0.5942
85,120.0,57,0.5894
86,190.0,64,0.5847
87,310.0,76,0.5799
88,240.0,69,0.5751
89,290.0,74,0.5704
90,330.0,78,0.5656
91,230.0,68,0.5608
92,370.0,82,0.556
93,330.0,78,0.5513
94,180.0,63,0.5465
95,190.0,64,0.5417
96,-10.0,44,0.5369
97,180.0,63,0.5322
98,140.0,59,0.5274
99,20.0,47,0.5226
100,170.0,62,0.5178
101,250.0,70,0.5131
102,470.0,92,0.5083
103,400.0,85,0.5035
104,150.0,60,0.4987
105,230.0,68,0.494
106,330.0,78,0.4892
107,530.0,98,0.4844
108,40.0,51,0.4796
109,240.0,69,0.4749
110,380.0,83,0.4701
111,400.0,85,0.4653
112,510.0,96,0.4606
113,410.0,86,0.4558
114,100.0,55,0.451
115,80.0,53,0.4462
116,160.0,61,0.4415
117,170.0,62,0.4367
118,130.0,58,0.4319
119,110.0,56,0.4271
120,320.0,77,0.4224
121,170.0,62,0.4176
122,310.0,76,0.4128
123,500.0,95,0.408
124,180.0,65,0.4033
125,150.0,60,0.3985
126,70.0,52,0.3937
127,380.0,83,0.3889
128,210.0,66,0.3842
129,220.0,67,0.3794
130,370.0,82,0.3746
131,130.0,58,0.3698
132,270.0,76,0.3651
133,320.0,77,0.3603
134,290.0,74,0.3555
135,340.0,79,0.3508
136,220.0,67,0.346
137,190.0,64,0.3412
138,520.0,97,0.3364
139,250.0,70,0.3317
140,260.0,71,0.3269
141,230.0,68,0.3221
142,370.0,82,0.3173
143,300.0,75,0.3126
144,380.0,83,0.3078
145,410.0,86,0.303
146,370.0,82,0.2982
147,450.0,90,0.2935
148,60.0,51,0.2887
149,270.0,72,0.2839
150,200.0,65,0.2791
151,240.0,69,0.2744
152,250.0,70,0.2696
153,260.0,71,0.2648
154,300.0,75,0.2601
155,350.0,80,0.2553
156,80.0,53,0.2505
157,270.0,72,0.2457
158,290.0,74,0.241
159,180.0,63,0.2362
160,230.0,68,0.2314
161,310.0,76,0.2266
162,320.0,77,0.2219
163,380.0,83,0.2171
164,260.0,71,0.2123
165,150.0,60,0.2075
166,230.0,68,0.2028
167,240.0,69,0.198
168,220.0,67,0.1932
169,290.0,74,0.1884
170,260.0,71,0.1837
171,400.0,85,0.1789
172,90.0,54,0.1741
173,390.0,84,0.1693
174,400.0,85,0.1646
175,440.0,89,0.1598
176,180.0,63,0.155
177,490.0,94,0.1503
178,210.0,66,0.1455
179,240.0,69,0.1407
180,250.0,70,0.1359
181,400.0,85,0.1312
182,610.0,106,0.1264
183,200.0,65,0.1216
184,420.0,87,0.1168
185,220.0,67,0.1121
186,480.0,93,0.1073
187,520.0,97,0.1025
188,340.0,79,0.0977
189,200.0,65,0.093
190,560.0,101,0.0882
191,350.0,80,0.0834
192,340.0,79,0.0786
193,680.0,113,0.0739
194,580.0,103,0.0691
195,480.0,93,0.0643
196,580.0,103,0.0595
197,340.0,79,0.0548
198,360.0,81,0.05
199,470.0,92,0.05
