brain_type,seed,frames,bot_count,dirt_collected,collection_rate,dirt_per_bot,cat_freeze_count,battery_depletions
subsumption,0,1500,1,34,0.022667,34.0,0,0
subsumption,1,1500,1,53,0.035333,53.0,0,0
subsumption,2,1500,1,13,0.008667,13.0,0,0
subsumption,3,1500,1,34,0.022667,34.0,0,0
subsumption,4,1500,1,32,0.021333,32.0,0,0
subsumption,5,1500,1,30,0.02,30.0,0,0
subsumption,6,1500,1,30,0.02,30.0,0,0
subsumption,7,1500,1,32,0.021333,32.0,0,0
subsumption,8,1500,1,26,0.017333,26.0,0,0
subsumption,9,1500,1,24,0.016,24.0,0,0
subsumption,0,1500,2,45,0.03,22.5,0,0
subsumption,1,1500,2,62,0.041333,31.0,0,0
subsumption,2,1500,2,43,0.028667,21.5,0,0
subsumption,3,1500,2,63,0.042,31.5,0,0
subsumption,4,1500,2,67,0.044667,33.5,0,0
subsumption,5,1500,2,46,0.030667,23.0,0,0
subsumption,6,1500,2,63,0.042,31.5,0,0
subsumption,7,1500,2,60,0.04,30.0,0,0
subsumption,8,1500,2,59,0.039333,29.5,0,0
subsumption,9,1500,2,53,0.035333,26.5,0,0
subsumption,0,1500,3,60,0.04,20.0,0,0
subsumption,1,1500,3,75,0.05,25.0,0,0
subsumption,2,1500,3,41,0.027333,13.6667,0,0
subsumption,3,1500,3,82,0.054667,27.3333,0,0
subsumption,4,1500,3,78,0.052,26.0,0,0
subsumption,5,1500,3,87,0.058,29.0,0,0
subsumption,6,1500,3,84,0.056,28.0,0,0
subsumption,7,1500,3,85,0.056667,28.3333,0,0
subsumption,8,1500,3,76,0.050667,25.3333,0,0
subsumption,9,1500,3,85,0.056667,28.3333,0,0
subsumption,0,1500,5,81,0.054,16.2,0,2
subsumption,1,1500,5,93,0.062,18.6,1,0
subsumption,2,1500,5,89,0.059333,17.8,1,0
subsumption,3,1500,5,100,0.066667,20.0,0,0
subsumption,4,1500,5,88,0.058667,17.6,0,1
subsumption,5,1500,5,96,0.064,19.2,0,1
subsumption,6,1500,5,131,0.087333,26.2,0,0
subsumption,7,1500,5,97,0.064667,19.4,0,0
subsumption,8,1500,5,86,0.057333,17.2,0,1
subsumption,9,1500,5,96,0.064,19.2,0,1
subsumption,0,1500,7,93,0.062,13.2857,0,2
subsumption,1,1500,7,125,0.083333,17.8571,1,1
subsumption,2,1500,7,110,0.073333,15.7143,1,1
subsumption,3,1500,7,149,0.099333,21.2857,0,1
subsumption,4,1500,7,88,0.058667,12.5714,0,2
subsumption,5,1500,7,150,0.1,21.4286,0,2
subsumption,6,1500,7,138,0.092,19.7143,1,1
subsumption,7,1500,7,113,0.075333,16.1429,0,1
subsumption,8,1500,7,105,0.07,15.0,0,1
subsumption,9,1500,7,130,0.086667,18.5714,0,1
subsumption,0,1500,10,108,0.072,10.8,0,3
subsumption,1,1500,10,125,0.083333,12.5,1,4
subsumption,2,1500,10,117,0.078,11.7,1,5
subsumption,3,1500,10,122,0.081333,12.2,2,2
subsumption,4,1500,10,116,0.077333,11.6,0,4
subsumption,5,1500,10,159,0.106,15.9,0,4
subsumption,6,1500,10,145,0.096667,14.5,0,4
subsumption,7,1500,10,115,0.076667,11.5,1,4
subsumption,8,1500,10,151,0.100667,15.1,0,4
subsumption,9,1500,10,108,0.072,10.8,1,4
potential_field,0,1500,1,24,0.016,24.0,0,0
potential_field,1,1500,1,21,0.014,21.0,3,0
potential_field,2,1500,1,19,0.012667,19.0,0,0
potential_field,3,1500,1,36,0.024,36.0,4,0
potential_field,4,1500,1,20,0.013333,20.0,0,0
potential_field,5,1500,1,27,0.018,27.0,4,0
potential_field,6,1500,1,33,0.022,33.0,0,0
potential_field,7,1500,1,24,0.016,24.0,1,0
potential_field,8,1500,1,24,0.016,24.0,0,0
potential_field,9,1500,1,28,0.018667,28.0,0,0
potential_field,0,1500,2,47,0.031333,23.5,1,0
potential_field,1,1500,2,69,0.046,34.5,3,0
potential_field,2,1500,2,50,0.033333,25.0,1,0
potential_field,3,1500,2,56,0.037333,28.0,0,0
potential_field,4,1500,2,45,0.03,22.5,5,0
potential_field,5,1500,2,65,0.043333,32.5,2,0
potential_field,6,1500,2,59,0.039333,29.5,2,0
potential_field,7,1500,2,56,0.037333,28.0,1,0
potential_field,8,1500,2,65,0.043333,32.5,0,0
potential_field,9,1500,2,45,0.03,22.5,0,0
potential_field,0,1500,3,67,0.044667,22.3333,2,0
potential_field,1,1500,3,69,0.046,23.0,1,0
potential_field,2,1500,3,53,0.035333,17.6667,1,0
potential_field,3,1500,3,71,0.047333,23.6667,2,0
potential_field,4,1500,3,60,0.04,20.0,0,0
potential_field,5,1500,3,77,0.051333,25.6667,1,0
potential_field,6,1500,3,83,0.055333,27.6667,0,0
potential_field,7,1500,3,73,0.048667,24.3333,7,0
potential_field,8,1500,3,79,0.052667,26.3333,1,0
potential_field,9,1500,3,59,0.039333,19.6667,3,0
potential_field,0,1500,5,67,0.044667,13.4,1,2
potential_field,1,1500,5,117,0.078,23.4,9,0
potential_field,2,1500,5,65,0.043333,13.0,4,0
potential_field,3,1500,5,89,0.059333,17.8,3,0
potential_field,4,1500,5,91,0.060667,18.2,5,1
potential_field,5,1500,5,87,0.058,17.4,1,2
potential_field,6,1500,5,96,0.064,19.2,4,0
potential_field,7,1500,5,90,0.06,18.0,14,1
potential_field,8,1500,5,109,0.072667,21.8,4,1
potential_field,9,1500,5,84,0.056,16.8,2,1
potential_field,0,1500,7,96,0.064,13.7143,11,1
potential_field,1,1500,7,83,0.055333,11.8571,7,2
potential_field,2,1500,7,94,0.062667,13.4286,5,2
potential_field,3,1500,7,87,0.058,12.4286,18,0
potential_field,4,1500,7,121,0.080667,17.2857,8,1
potential_field,5,1500,7,109,0.072667,15.5714,8,3
potential_field,6,1500,7,105,0.07,15.0,4,2
potential_field,7,1500,7,100,0.066667,14.2857,8,1
potential_field,8,1500,7,105,0.07,15.0,1,2
potential_field,9,1500,7,99,0.066,14.1429,0,2
potential_field,0,1500,10,101,0.067333,10.1,8,4
potential_field,1,1500,10,90,0.06,9.0,15,7
potential_field,2,1500,10,126,0.084,12.6,7,5
potential_field,3,1500,10,132,0.088,13.2,0,3
potential_field,4,1500,10,121,0.080667,12.1,7,5
potential_field,5,1500,10,109,0.072667,10.9,0,6
potential_field,6,1500,10,120,0.08,12.0,3,3
potential_field,7,1500,10,135,0.09,13.5,4,4
potential_field,8,1500,10,136,0.090667,13.6,0,5
potential_field,9,1500,10,135,0.09,13.5,13,4
qlearning,0,1500,1,32,0.021333,32.0,0,0
qlearning,1,1500,1,22,0.014667,22.0,0,0
qlearning,2,1500,1,40,0.026667,40.0,0,0
qlearning,3,1500,1,45,0.03,45.0,0,0
qlearning,4,1500,1,30,0.02,30.0,0,0
qlearning,5,1500,1,33,0.022,33.0,0,0
qlearning,6,1500,1,39,0.026,39.0,0,0
qlearning,7,1500,1,36,0.024,36.0,0,0
qlearning,8,1500,1,32,0.021333,32.0,0,0
qlearning,9,1500,1,49,0.032667,49.0,1,0
qlearning,0,1500,2,35,0.023333,17.5,0,1
qlearning,1,1500,2,56,0.037333,28.0,0,0
qlearning,2,1500,2,45,0.03,22.5,0,0
qlearning,3,1500,2,55,0.036667,27.5,0,0
qlearning,4,1500,2,34,0.022667,17.0,0,0
qlearning,5,1500,2,55,0.036667,27.5,1,0
qlearning,6,1500,2,61,0.040667,30.5,1,0
qlearning,7,1500,2,73,0.048667,36.5,0,0
qlearning,8,1500,2,74,0.049333,37.0,0,0
qlearning,9,1500,2,44,0.029333,22.0,0,1
qlearning,0,1500,3,49,0.032667,16.3333,0,1
qlearning,1,1500,3,81,0.054,27.0,2,0
qlearning,2,1500,3,54,0.036,18.0,0,0
qlearning,3,1500,3,92,0.061333,30.6667,0,0
qlearning,4,1500,3,81,0.054,27.0,2,0
qlearning,5,1500,3,81,0.054,27.0,0,0
qlearning,6,1500,3,113,0.075333,37.6667,0,0
qlearning,7,1500,3,70,0.046667,23.3333,0,0
qlearning,8,1500,3,91,0.060667,30.3333,1,0
qlearning,9,1500,3,86,0.057333,28.6667,0,0
qlearning,0,1500,5,118,0.078667,23.6,1,0
qlearning,1,1500,5,94,0.062667,18.8,0,1
qlearning,2,1500,5,98,0.065333,19.6,1,0
qlearning,3,1500,5,130,0.086667,26.0,0,1
qlearning,4,1500,5,88,0.058667,17.6,1,1
qlearning,5,1500,5,105,0.07,21.0,1,0
qlearning,6,1500,5,140,0.093333,28.0,1,0
qlearning,7,1500,5,110,0.073333,22.0,0,0
qlearning,8,1500,5,47,0.031333,9.4,0,4
qlearning,9,1500,5,92,0.061333,18.4,0,1
qlearning,0,1500,7,117,0.078,16.7143,0,1
qlearning,1,1500,7,125,0.083333,17.8571,0,2
qlearning,2,1500,7,113,0.075333,16.1429,0,1
qlearning,3,1500,7,140,0.093333,20.0,0,1
qlearning,4,1500,7,91,0.060667,13.0,2,2
qlearning,5,1500,7,108,0.072,15.4286,0,2
qlearning,6,1500,7,146,0.097333,20.8571,2,0
qlearning,7,1500,7,110,0.073333,15.7143,1,1
qlearning,8,1500,7,121,0.080667,17.2857,1,1
qlearning,9,1500,7,101,0.067333,14.4286,0,4
qlearning,0,1500,10,136,0.090667,13.6,0,3
qlearning,1,1500,10,148,0.098667,14.8,0,5
qlearning,2,1500,10,156,0.104,15.6,0,5
qlearning,3,1500,10,112,0.074667,11.2,0,5
qlearning,4,1500,10,93,0.062,9.3,2,3
qlearning,5,1500,10,128,0.085333,12.8,0,6
qlearning,6,1500,10,153,0.102,15.3,1,3
qlearning,7,1500,10,144,0.096,14.4,3,4
qlearning,8,1500,10,142,0.094667,14.2,4,4
qlearning,9,1500,10,124,0.082667,12.4,0,5
