brain_type,seed,frames,noise_sigma,dirt_collected,collection_rate,cat_freeze_count,battery_depletions
subsumption,0,1500,0.0,48,0.032,0,0
subsumption,1,1500,0.0,67,0.044667,0,0
subsumption,2,1500,0.0,50,0.033333,0,0
subsumption,3,1500,0.0,90,0.06,0,0
subsumption,4,1500,0.0,63,0.042,0,0
subsumption,5,1500,0.0,82,0.054667,0,0
subsumption,6,1500,0.0,87,0.058,0,0
subsumption,7,1500,0.0,72,0.048,0,0
subsumption,8,1500,0.0,69,0.046,0,0
subsumption,9,1500,0.0,80,0.053333,0,0
subsumption,0,1500,0.1,74,0.049333,0,0
subsumption,1,1500,0.1,62,0.041333,0,0
subsumption,2,1500,0.1,51,0.034,0,0
subsumption,3,1500,0.1,87,0.058,0,0
subsumption,4,1500,0.1,79,0.052667,0,0
subsumption,5,1500,0.1,85,0.056667,0,0
subsumption,6,1500,0.1,81,0.054,3,0
subsumption,7,1500,0.1,55,0.036667,1,0
subsumption,8,1500,0.1,53,0.035333,0,0
subsumption,9,1500,0.1,68,0.045333,0,0
subsumption,0,1500,0.2,62,0.041333,4,0
subsumption,1,1500,0.2,71,0.047333,0,0
subsumption,2,1500,0.2,44,0.029333,2,0
subsumption,3,1500,0.2,72,0.048,1,0
subsumption,4,1500,0.2,75,0.05,0,0
subsumption,5,1500,0.2,75,0.05,0,0
subsumption,6,1500,0.2,89,0.059333,0,0
subsumption,7,1500,0.2,69,0.046,0,0
subsumption,8,1500,0.2,50,0.033333,1,0
subsumption,9,1500,0.2,79,0.052667,1,0
subsumption,0,1500,0.3,69,0.046,4,0
subsumption,1,1500,0.3,65,0.043333,1,0
subsumption,2,1500,0.3,49,0.032667,0,0
subsumption,3,1500,0.3,95,0.063333,1,0
subsumption,4,1500,0.3,75,0.05,3,0
subsumption,5,1500,0.3,74,0.049333,1,0
subsumption,6,1500,0.3,69,0.046,1,0
subsumption,7,1500,0.3,93,0.062,3,0
subsumption,8,1500,0.3,56,0.037333,0,0
subsumption,9,1500,0.3,72,0.048,0,0
subsumption,0,1500,0.5,57,0.038,4,0
subsumption,1,1500,0.5,77,0.051333,1,0
subsumption,2,1500,0.5,38,0.025333,8,0
subsumption,3,1500,0.5,83,0.055333,2,0
subsumption,4,1500,0.5,72,0.048,2,0
subsumption,5,1500,0.5,71,0.047333,2,0
subsumption,6,1500,0.5,68,0.045333,0,0
subsumption,7,1500,0.5,63,0.042,6,0
subsumption,8,1500,0.5,69,0.046,4,0
subsumption,9,1500,0.5,83,0.055333,0,0
subsumption,0,1500,1.0,48,0.032,8,0
subsumption,1,1500,1.0,59,0.039333,3,0
subsumption,2,1500,1.0,70,0.046667,17,0
subsumption,3,1500,1.0,85,0.056667,20,0
subsumption,4,1500,1.0,62,0.041333,24,0
subsumption,5,1500,1.0,61,0.040667,13,0
subsumption,6,1500,1.0,86,0.057333,16,0
subsumption,7,1500,1.0,57,0.038,14,0
subsumption,8,1500,1.0,71,0.047333,15,0
subsumption,9,1500,1.0,51,0.034,3,0
potential_field,0,1500,0.0,54,0.036,2,1
potential_field,1,1500,0.0,65,0.043333,2,0
potential_field,2,1500,0.0,51,0.034,1,0
potential_field,3,1500,0.0,67,0.044667,1,0
potential_field,4,1500,0.0,52,0.034667,0,1
potential_field,5,1500,0.0,67,0.044667,1,0
potential_field,6,1500,0.0,75,0.05,1,0
potential_field,7,1500,0.0,78,0.052,2,0
potential_field,8,1500,0.0,76,0.050667,0,0
potential_field,9,1500,0.0,59,0.039333,0,0
potential_field,0,1500,0.1,60,0.04,2,0
potential_field,1,1500,0.1,87,0.058,11,0
potential_field,2,1500,0.1,47,0.031333,5,0
potential_field,3,1500,0.1,75,0.05,1,0
potential_field,4,1500,0.1,56,0.037333,2,1
potential_field,5,1500,0.1,65,0.043333,1,0
potential_field,6,1500,0.1,68,0.045333,1,0
potential_field,7,1500,0.1,84,0.056,6,0
potential_field,8,1500,0.1,57,0.038,0,0
potential_field,9,1500,0.1,73,0.048667,1,0
potential_field,0,1500,0.2,64,0.042667,8,1
potential_field,1,1500,0.2,67,0.044667,12,1
potential_field,2,1500,0.2,39,0.026,3,0
potential_field,3,1500,0.2,70,0.046667,2,0
potential_field,4,1500,0.2,64,0.042667,0,0
potential_field,5,1500,0.2,45,0.03,12,0
potential_field,6,1500,0.2,47,0.031333,1,0
potential_field,7,1500,0.2,91,0.060667,1,0
potential_field,8,1500,0.2,59,0.039333,6,0
potential_field,9,1500,0.2,46,0.030667,14,0
potential_field,0,1500,0.3,50,0.033333,7,1
potential_field,1,1500,0.3,70,0.046667,8,0
