reward_type,brain_type,seed,frames,dirt_collected,collection_rate,cat_freeze_count,battery_depletions
subsumption_baseline,subsumption,0,1500,60,0.04,0,0
subsumption_baseline,subsumption,1,1500,75,0.05,0,0
subsumption_baseline,subsumption,2,1500,41,0.027333,0,0
subsumption_baseline,subsumption,3,1500,82,0.054667,0,0
subsumption_baseline,subsumption,4,1500,78,0.052,0,0
subsumption_baseline,subsumption,5,1500,87,0.058,0,0
subsumption_baseline,subsumption,6,1500,84,0.056,0,0
subsumption_baseline,subsumption,7,1500,85,0.056667,0,0
subsumption_baseline,subsumption,8,1500,76,0.050667,0,0
subsumption_baseline,subsumption,9,1500,85,0.056667,0,0
baseline,qlearning,0,1500,49,0.032667,0,1
baseline,qlearning,1,1500,81,0.054,2,0
baseline,qlearning,2,1500,54,0.036,0,0
baseline,qlearning,3,1500,92,0.061333,0,0
baseline,qlearning,4,1500,81,0.054,2,0
baseline,qlearning,5,1500,81,0.054,0,0
baseline,qlearning,6,1500,113,0.075333,0,0
baseline,qlearning,7,1500,70,0.046667,0,0
baseline,qlearning,8,1500,91,0.060667,1,0
baseline,qlearning,9,1500,86,0.057333,0,0
heavy_safety,qlearning,0,1500,79,0.052667,0,0
heavy_safety,qlearning,1,1500,75,0.05,0,1
heavy_safety,qlearning,2,1500,71,0.047333,1,1
heavy_safety,qlearning,3,1500,100,0.066667,0,0
heavy_safety,qlearning,4,1500,70,0.046667,1,0
heavy_safety,qlearning,5,1500,78,0.052,0,0
heavy_safety,qlearning,6,1500,86,0.057333,1,0
heavy_safety,qlearning,7,1500,97,0.064667,0,0
heavy_safety,qlearning,8,1500,42,0.028,0,1
heavy_safety,qlearning,9,1500,85,0.056667,0,0
dense_progress,qlearning,0,1500,59,0.039333,0,0
dense_progress,qlearning,1,1500,68,0.045333,0,0
dense_progress,qlearning,2,1500,61,0.040667,1,0
dense_progress,qlearning,3,1500,103,0.068667,1,0
dense_progress,qlearning,4,1500,80,0.053333,1,0
dense_progress,qlearning,5,1500,79,0.052667,0,0
dense_progress,qlearning,6,1500,103,0.068667,0,0
dense_progress,qlearning,7,1500,78,0.052,1,0
dense_progress,qlearning,8,1500,92,0.061333,0,0
dense_progress,qlearning,9,1500,77,0.051333,0,0
energy_aware,qlearning,0,1500,49,0.032667,0,0
energy_aware,qlearning,1,1500,71,0.047333,1,0
energy_aware,qlearning,2,1500,46,0.030667,0,0
energy_aware,qlearning,3,1500,55,0.036667,1,0
energy_aware,qlearning,4,1500,50,0.033333,1,0
energy_aware,qlearning,5,1500,68,0.045333,0,0
energy_aware,qlearning,6,1500,43,0.028667,0,0
energy_aware,qlearning,7,1500,51,0.034,0,0
energy_aware,qlearning,8,1500,50,0.033333,0,1
energy_aware,qlearning,9,1500,45,0.03,0,0
sparse,qlearning,0,1500,67,0.044667,1,0
sparse,qlearning,1,1500,83,0.055333,0,0
sparse,qlearning,2,1500,76,0.050667,0,0
sparse,qlearning,3,1500,75,0.05,0,0
sparse,qlearning,4,1500,79,0.052667,2,0
sparse,qlearning,5,1500,93,0.062,0,0
sparse,qlearning,6,1500,95,0.063333,2,0
sparse,qlearning,7,1500,85,0.056667,0,0
sparse,qlearning,8,1500,85,0.056667,0,0
sparse,qlearning,9,1500,54,0.036,0,1
