episode,reward_type,total_reward,dirt_collected,epsilon
0,dense_progress,90.0,54,0.9952
1,dense_progress,324.0,65,0.9905
2,dense_progress,302.0,72,0.9857
3,dense_progress,168.0,53,0.9809
4,dense_progress,250.0,61,0.9761
5,dense_progress,252.0,67,0.9714
6,dense_progress,282.0,65,0.9666
7,dense_progress,132.0,58,0.9618
8,dense_progress,580.0,71,0.957
9,dense_progress,436.0,77,0.9523
10,dense_progress,292.0,66,0.9475
11,dense_progress,484.0,79,0.9427
12,dense_progress,316.0,67,0.9379
13,dense_progress,342.0,68,0.9332
14,dense_progress,210.0,62,0.9284
15,dense_progress,304.0,61,0.9236
16,dense_progress,230.0,63,0.9188
17,dense_progress,120.0,49,0.9141
18,dense_progress,478.0,86,0.9093
19,dense_progress,420.0,64,0.9045
20,dense_progress,302.0,69,0.8997
21,dense_progress,464.0,74,0.895
22,dense_progress,342.0,79,0.8902
23,dense_progress,514.0,87,0.8854
24,dense_progress,282.0,52,0.8807
25,dense_progress,262.0,71,0.8759
26,dense_progress,92.0,54,0.8711
27,dense_progress,336.0,49,0.8663
28,dense_progress,414.0,81,0.8616
29,dense_progress,174.0,60,0.8568
30,dense_progress,260.0,56,0.852
31,dense_progress,340.0,65,0.8472
32,dense_progress,80.0,52,0.8425
33,dense_progress,496.0,71,0.8377
34,dense_progress,100.0,55,0.8329
35,dense_progress,242.0,69,0.8281
36,dense_progress,60.0,51,0.8234
37,dense_progress,508.0,92,0.8186
38,dense_progress,180.0,58,0.8138
39,dense_progress,274.0,72,0.809
40,dense_progress,120.0,57,0.8043
41,dense_progress,440.0,81,0.7995
42,dense_progress,312.0,72,0.7947
43,dense_progress,590.0,70,0.7899
44,dense_progress,354.0,76,0.7852
45,dense_progress,450.0,77,0.7804
46,dense_progress,680.0,89,0.7756
47,dense_progress,212.0,55,0.7709
48,dense_progress,376.0,73,0.7661
49,dense_progress,468.0,83,0.7613
50,dense_progress,146.0,55,0.7565
51,dense_progress,340.0,79,0.7518
52,dense_progress,390.0,80,0.747
53,dense_progress,250.0,70,0.7422
54,dense_progress,244.0,69,0.7374
55,dense_progress,162.0,60,0.7327
56,dense_progress,420.0,83,0.7279
57,dense_progress,570.0,94,0.7231
58,dense_progress,412.0,71,0.7183
59,dense_progress,216.0,64,0.7136
60,dense_progress,572.0,77,0.7088
61,dense_progress,430.0,76,0.704
62,dense_progress,172.0,62,0.6992
63,dense_progress,472.0,84,0.6945
64,dense_progress,326.0,72,0.6897
65,dense_progress,72.0,47,0.6849
66,dense_progress,90.0,54,0.6802
67,dense_progress,372.0,82,0.6754
68,dense_progress,200.0,60,0.6706
69,dense_progress,804.0,86,0.6658
70,dense_progress,394.0,81,0.6611
71,dense_progress,12.0,46,0.6563
72,dense_progress,396.0,73,0.6515
73,dense_progress,428.0,76,0.6467
74,dense_progress,300.0,74,0.642
75,dense_progress,456.0,69,0.6372
76,dense_progress,626.0,96,0.6324
77,dense_progress,168.0,50,0.6276
78,dense_progress,456.0,82,0.6229
79,dense_progress,442.0,84,0.6181
80,dense_progress,362.0,81,0.6133
81,dense_progress,530.0,97,0.6085
82,dense_progress,104.0,55,0.6038
83,dense_progress,592.0,92,0.599
84,dense_progress,210.0,66,0.5942
85,dense_progress,362.0,75,0.5894
86,dense_progress,314.0,75,0.5847
87,dense_progress,326.0,67,0.5799
88,dense_progress,308.0,72,0.5751
89,dense_progress,548.0,80,0.5704
90,dense_progress,474.0,77,0.5656
91,dense_progress,388.0,77,0.5608
92,dense_progress,342.0,72,0.556
93,dense_progress,574.0,89,0.5513
94,dense_progress,580.0,95,0.5465
95,dense_progress,512.0,88,0.5417
96,dense_progress,332.0,52,0.5369
97,dense_progress,286.0,70,0.5322
98,dense_progress,410.0,67,0.5274
99,dense_progress,300.0,65,0.5226
100,dense_progress,624.0,93,0.5178
101,dense_progress,368.0,73,0.5131
102,dense_progress,442.0,70,0.5083
103,dense_progress,260.0,71,0.5035
104,dense_progress,256.0,64,0.4987
105,dense_progress,352.0,80,0.494
106,dense_progress,70.0,52,0.4892
107,dense_progress,428.0,82,0.4844
108,dense_progress,174.0,56,0.4796
109,dense_progress,494.0,85,0.4749
110,dense_progress,336.0,64,0.4701
111,dense_progress,526.0,93,0.4653
112,dense_progress,452.0,76,0.4606
113,dense_progress,458.0,85,0.4558
114,dense_progress,250.0,67,0.451
115,dense_progress,434.0,73,0.4462
116,dense_progress,358.0,64,0.4415
117,dense_progress,-60.0,39,0.4367
118,dense_progress,424.0,77,0.4319
119,dense_progress,438.0,80,0.4271
120,dense_progress,490.0,78,0.4224
121,dense_progress,386.0,82,0.4176
122,dense_progress,606.0,97,0.4128
123,dense_progress,472.0,86,0.408
124,dense_progress,356.0,71,0.4033
125,dense_progress,30.0,48,0.3985
126,dense_progress,178.0,57,0.3937
127,dense_progress,470.0,65,0.3889
128,dense_progress,440.0,79,0.3842
129,dense_progress,456.0,80,0.3794
130,dense_progress,206.0,63,0.3746
131,dense_progress,272.0,67,0.3698
132,dense_progress,310.0,72,0.3651
133,dense_progress,166.0,56,0.3603
134,dense_progress,450.0,88,0.3555
135,dense_progress,230.0,64,0.3508
136,dense_progress,560.0,92,0.346
137,dense_progress,324.0,67,0.3412
138,dense_progress,538.0,80,0.3364
139,dense_progress,692.0,101,0.3317
140,dense_progress,654.0,89,0.3269
141,dense_progress,352.0,67,0.3221
142,dense_progress,526.0,76,0.3173
143,dense_progress,626.0,101,0.3126
144,dense_progress,516.0,84,0.3078
145,dense_progress,40.0,42,0.303
146,dense_progress,422.0,74,0.2982
147,dense_progress,538.0,80,0.2935
