episode,reward_type,total_reward,dirt_collected,epsilon
0,energy_aware,1980.0,57,0.9952
1,energy_aware,1785.0,39,0.9905
2,energy_aware,2358.0,93,0.9857
3,energy_aware,751.0,68,0.9809
4,energy_aware,931.0,54,0.9761
5,energy_aware,1976.0,72,0.9714
6,energy_aware,1676.0,64,0.9666
7,energy_aware,2222.0,78,0.9618
8,energy_aware,1766.0,69,0.957
9,energy_aware,1591.0,66,0.9523
10,energy_aware,994.0,33,0.9475
11,energy_aware,1573.0,95,0.9427
12,energy_aware,1596.0,57,0.9379
13,energy_aware,481.0,75,0.9332
14,energy_aware,1519.0,82,0.9284
15,energy_aware,1798.0,65,0.9236
16,energy_aware,2215.0,78,0.9188
17,energy_aware,1815.0,67,0.9141
18,energy_aware,1900.0,48,0.9093
19,energy_aware,2320.0,68,0.9045
20,energy_aware,1143.0,62,0.8997
21,energy_aware,2127.0,70,0.895
22,energy_aware,1533.0,43,0.8902
23,energy_aware,1743.0,68,0.8854
24,energy_aware,979.0,43,0.8807
25,energy_aware,2207.0,67,0.8759
26,energy_aware,1807.0,58,0.8711
27,energy_aware,2247.0,77,0.8663
28,energy_aware,1396.0,78,0.8616
29,energy_aware,2013.0,81,0.8568
30,energy_aware,2081.0,76,0.852
31,energy_aware,2185.0,74,0.8472
32,energy_aware,1859.0,65,0.8425
33,energy_aware,1978.0,88,0.8377
34,energy_aware,2175.0,67,0.8329
35,energy_aware,2009.0,74,0.8281
36,energy_aware,1484.0,51,0.8234
37,energy_aware,1963.0,84,0.8186
38,energy_aware,2010.0,63,0.8138
39,energy_aware,2095.0,80,0.809
40,energy_aware,863.0,66,0.8043
41,energy_aware,1730.0,78,0.7995
42,energy_aware,1826.0,53,0.7947
43,energy_aware,130.0,64,0.7899
44,energy_aware,1870.0,37,0.7852
45,energy_aware,937.0,66,0.7804
46,energy_aware,1890.0,61,0.7756
47,energy_aware,2215.0,76,0.7709
48,energy_aware,1928.0,67,0.7661
49,energy_aware,1639.0,75,0.7613
50,energy_aware,1642.0,75,0.7565
51,energy_aware,1639.0,86,0.7518
52,energy_aware,1769.0,77,0.747
53,energy_aware,-1005.0,67,0.7422
54,energy_aware,1210.0,51,0.7374
55,energy_aware,1735.0,67,0.7327
56,energy_aware,1143.0,90,0.7279
57,energy_aware,1744.0,74,0.7231
58,energy_aware,1209.0,66,0.7183
59,energy_aware,2062.0,71,0.7136
60,energy_aware,2025.0,67,0.7088
61,energy_aware,1175.0,67,0.704
62,energy_aware,1872.0,88,0.6992
63,energy_aware,1158.0,71,0.6945
64,energy_aware,2134.0,76,0.6897
65,energy_aware,1807.0,74,0.6849
66,energy_aware,1880.0,71,0.6802
67,energy_aware,2312.0,76,0.6754
68,energy_aware,2163.0,88,0.6706
69,energy_aware,1595.0,41,0.6658
70,energy_aware,1577.0,51,0.6611
71,energy_aware,1223.0,70,0.6563
72,energy_aware,1347.0,58,0.6515
73,energy_aware,1320.0,62,0.6467
74,energy_aware,2240.0,65,0.642
75,energy_aware,1565.0,62,0.6372
76,energy_aware,1566.0,51,0.6324
77,energy_aware,2024.0,66,0.6276
78,energy_aware,1355.0,79,0.6229
79,energy_aware,-1070.0,69,0.6181
80,energy_aware,2200.0,78,0.6133
81,energy_aware,1482.0,43,0.6085
82,energy_aware,1735.0,63,0.6038
83,energy_aware,1562.0,68,0.599
84,energy_aware,1960.0,49,0.5942
85,energy_aware,1976.0,64,0.5894
86,energy_aware,1830.0,49,0.5847
87,energy_aware,1754.0,73,0.5799
88,energy_aware,1893.0,61,0.5751
89,energy_aware,1920.0,83,0.5704
90,energy_aware,1618.0,47,0.5656
91,energy_aware,1386.0,61,0.5608
92,energy_aware,2018.0,82,0.556
93,energy_aware,2045.0,56,0.5513
94,energy_aware,2171.0,81,0.5465
95,energy_aware,2122.0,75,0.5417
96,energy_aware,1885.0,57,0.5369
97,energy_aware,1756.0,88,0.5322
98,energy_aware,1307.0,57,0.5274
99,energy_aware,1305.0,82,0.5226
100,energy_aware,2291.0,76,0.5178
101,energy_aware,755.0,61,0.5131
102,energy_aware,1014.0,64,0.5083
103,energy_aware,2003.0,93,0.5035
104,energy_aware,2071.0,78,0.4987
105,energy_aware,-2360.0,40,0.494
106,energy_aware,1632.0,78,0.4892
107,energy_aware,1811.0,84,0.4844
108,energy_aware,1697.0,87,0.4796
109,energy_aware,1599.0,71,0.4749
110,energy_aware,2236.0,79,0.4701
111,energy_aware,1786.0,47,0.4653
112,energy_aware,2035.0,76,0.4606
113,energy_aware,1517.0,58,0.4558
114,energy_aware,1664.0,91,0.451
115,energy_aware,1313.0,46,0.4462
116,energy_aware,1870.0,65,0.4415
117,energy_aware,1946.0,62,0.4367
118,energy_aware,1507.0,79,0.4319
119,energy_aware,1770.0,79,0.4271
120,energy_aware,929.0,64,0.4224
121,energy_aware,821.0,51,0.4176
122,energy_aware,1175.0,80,0.4128
123,energy_aware,1207.0,72,0.408
124,energy_aware,1873.0,79,0.4033
125,energy_aware,1928.0,76,0.3985
126,energy_aware,2255.0,84,0.3937
127,energy_aware,1831.0,61,0.3889
128,energy_aware,1557.0,54,0.3842
129,energy_aware,1697.0,81,0.3794
130,energy_aware,2031.0,77,0.3746
131,energy_aware,1441.0,65,0.3698
132,energy_aware,1581.0,65,0.3651
133,energy_aware,682.0,74,0.3603
134,energy_aware,1875.0,51,0.3555
135,energy_aware,1644.0,83,0.3508
136,energy_aware,1901.0,87,0.346
137,energy_aware,-1993.0,80,0.3412
138,energy_aware,1832.0,81,0.3364
139,energy_aware,1960.0,50,0.3317
140,energy_aware,471.0,59,0.3269
141,energy_aware,1663.0,81,0.3221
142,energy_aware,1806.0,89,0.3173
143,energy_aware,1511.0,56,0.3126
144,energy_aware,1615.0,92,0.3078
145,energy_aware,1366.0,86,0.303
146,energy_aware,1915.0,68,0.2982
147,energy_aware,-4035.0,67,0.2935
148,energy_aware,1980.0,65,0.2887
149,energy_aware,2043.0,75,0.2839
150,energy_aware,1327.0,87,0.2791
151,energy_aware,2021.0,48,0.2744
152,energy_aware,1916.0,99,0.2696
153,energy_aware,748.0,73,0.2648
154,energy_aware,1949.0,72,0.2601
155,energy_aware,2191.0,82,0.2553
156,energy_aware,2315.0,88,0.2505
157,energy_aware,868.0,65,0.2457
158,energy_aware,2002.0,88,0.241
159,energy_aware,1992.0,56,0.2362
160,energy_aware,1651.0,69,0.2314
161,energy_aware,1510.0,75,0.2266
162,energy_aware,1779.0,72,0.2219
163,energy_aware,1414.0,63,0.2171
164,energy_aware,1835.0,51,0.2123
165,energy_aware,840.0,47,0.2075
166,energy_aware,1823.0,77,0.2028
167,energy_aware,2235.0,90,0.198
168,energy_aware,2155.0,57,0.1932
169,energy_aware,1993.0,107,0.1884
170,energy_aware,1451.0,72,0.1837
171,energy_aware,2238.0,81,0.1789
172,energy_aware,1731.0,69,0.1741
173,energy_aware,1845.0,90,0.1693
174,energy_aware,-1202.0,61,0.1646
175,energy_aware,1551.0,53,0.1598
176,energy_aware,2165.0,73,0.155
177,energy_aware,2030.0,68,0.1503
178,energy_aware,1867.0,100,0.1455
179,energy_aware,1448.0,72,0.1407
180,energy_aware,2010.0,61,0.1359
181,energy_aware,2035.0,62,0.1312
182,energy_aware,2150.0,79,0.1264
183,energy_aware,1925.0,59,0.1216
184,energy_aware,1394.0,95,0.1168
185,energy_aware,1844.0,88,0.1121
186,energy_aware,-4340.0,38,0.1073
187,energy_aware,1754.0,79,0.1025
188,energy_aware,879.0,60,0.0977
189,energy_aware,1366.0,67,0.093
190,energy_aware,1762.0,65,0.0882
191,energy_aware,1738.0,74,0.0834
192,energy_aware,1920.0,71,0.0786
193,energy_aware,-1023.0,82,0.0739
194,energy_aware,1765.0,52,0.0691
195,energy_aware,-1060.0,68,0.0643
196,energy_aware,1386.0,62,0.0595
197,energy_aware,1543.0,53,0.0548
198,energy_aware,2255.0,89,0.05
199,energy_aware,1468.0,52,0.05
