episode,reward_type,total_reward,dirt_collected,epsilon
0,heavy_safety,-2030.0,44,0.9952
1,heavy_safety,-1705.0,70,0.9905
2,heavy_safety,-2975.0,79,0.9857
3,heavy_safety,-2295.0,56,0.9809
4,heavy_safety,-2215.0,69,0.9761
5,heavy_safety,-1380.0,53,0.9714
6,heavy_safety,-2985.0,48,0.9666
7,heavy_safety,-2445.0,47,0.9618
8,heavy_safety,-2190.0,66,0.957
9,heavy_safety,-1975.0,56,0.9523
10,heavy_safety,-2355.0,57,0.9475
11,heavy_safety,-4005.0,61,0.9427
12,heavy_safety,-1210.0,63,0.9379
13,heavy_safety,-2800.0,42,0.9332
14,heavy_safety,-1570.0,74,0.9284
15,heavy_safety,-1710.0,51,0.9236
16,heavy_safety,-2230.0,73,0.9188
17,heavy_safety,-2210.0,91,0.9141
18,heavy_safety,-1970.0,69,0.9093
19,heavy_safety,-2115.0,71,0.9045
20,heavy_safety,-1430.0,68,0.8997
21,heavy_safety,-1665.0,80,0.895
22,heavy_safety,-1880.0,68,0.8902
23,heavy_safety,-3055.0,80,0.8854
24,heavy_safety,-2165.0,63,0.8807
25,heavy_safety,-1925.0,63,0.8759
26,heavy_safety,-2105.0,67,0.8711
27,heavy_safety,-2815.0,59,0.8663
28,heavy_safety,-2010.0,62,0.8616
29,heavy_safety,-2200.0,66,0.8568
30,heavy_safety,-2940.0,76,0.852
31,heavy_safety,-1860.0,77,0.8472
32,heavy_safety,-2385.0,81,0.8425
33,heavy_safety,-2120.0,66,0.8377
34,heavy_safety,-3300.0,93,0.8329
35,heavy_safety,-1425.0,73,0.8281
36,heavy_safety,-2265.0,73,0.8234
37,heavy_safety,-1960.0,73,0.8186
38,heavy_safety,-1835.0,66,0.8138
39,heavy_safety,-2425.0,70,0.809
40,heavy_safety,-1810.0,83,0.8043
41,heavy_safety,-1775.0,64,0.7995
42,heavy_safety,-2000.0,53,0.7947
43,heavy_safety,-1470.0,99,0.7899
44,heavy_safety,-1900.0,63,0.7852
45,heavy_safety,-2220.0,35,0.7804
46,heavy_safety,-5715.0,88,0.7756
47,heavy_safety,-2770.0,84,0.7709
48,heavy_safety,-1140.0,58,0.7661
49,heavy_safety,-2945.0,71,0.7613
50,heavy_safety,-1550.0,73,0.7565
51,heavy_safety,-3695.0,65,0.7518
52,heavy_safety,-2410.0,88,0.747
53,heavy_safety,-1240.0,82,0.7422
54,heavy_safety,-2860.0,77,0.7374
55,heavy_safety,-4585.0,67,0.7327
56,heavy_safety,-2010.0,77,0.7279
57,heavy_safety,-1185.0,62,0.7231
58,heavy_safety,-1285.0,84,0.7183
59,heavy_safety,-1755.0,50,0.7136
60,heavy_safety,-2815.0,76,0.7088
61,heavy_safety,-955.0,49,0.704
62,heavy_safety,-1825.0,72,0.6992
63,heavy_safety,-6005.0,95,0.6945
64,heavy_safety,-3355.0,55,0.6897
65,heavy_safety,-2525.0,79,0.6849
66,heavy_safety,-2230.0,51,0.6802
67,heavy_safety,-2500.0,57,0.6754
68,heavy_safety,-1980.0,73,0.6706
69,heavy_safety,-1385.0,83,0.6658
70,heavy_safety,-1680.0,63,0.6611
71,heavy_safety,-1290.0,84,0.6563
72,heavy_safety,-1730.0,79,0.6515
73,heavy_safety,-385.0,84,0.6467
74,heavy_safety,-2685.0,57,0.642
75,heavy_safety,-1660.0,70,0.6372
76,heavy_safety,-2435.0,83,0.6324
77,heavy_safety,-1455.0,73,0.6276
78,heavy_safety,-1915.0,76,0.6229
79,heavy_safety,-2050.0,65,0.6181
80,heavy_safety,-1795.0,85,0.6133
81,heavy_safety,-1970.0,73,0.6085
82,heavy_safety,-495.0,46,0.6038
83,heavy_safety,-1020.0,86,0.599
84,heavy_safety,-1890.0,90,0.5942
85,heavy_safety,-7380.0,93,0.5894
86,heavy_safety,-2515.0,83,0.5847
87,heavy_safety,-2000.0,72,0.5799
88,heavy_safety,-1480.0,70,0.5751
89,heavy_safety,-1270.0,57,0.5704
90,heavy_safety,-1295.0,60,0.5656
91,heavy_safety,-2130.0,78,0.5608
