episode,reward_type,total_reward,dirt_collected,epsilon
0,sparse,540.0,54,0.9952
1,sparse,750.0,75,0.9905
2,sparse,560.0,56,0.9857
3,sparse,620.0,62,0.9809
4,sparse,720.0,72,0.9761
5,sparse,680.0,68,0.9714
6,sparse,640.0,64,0.9666
7,sparse,370.0,37,0.9618
8,sparse,670.0,67,0.957
9,sparse,640.0,64,0.9523
10,sparse,700.0,70,0.9475
11,sparse,870.0,87,0.9427
12,sparse,490.0,49,0.9379
13,sparse,710.0,71,0.9332
14,sparse,640.0,64,0.9284
15,sparse,600.0,60,0.9236
16,sparse,650.0,65,0.9188
17,sparse,860.0,86,0.9141
18,sparse,600.0,60,0.9093
19,sparse,720.0,72,0.9045
20,sparse,610.0,61,0.8997
21,sparse,530.0,53,0.895
22,sparse,520.0,52,0.8902
23,sparse,540.0,54,0.8854
24,sparse,640.0,64,0.8807
25,sparse,880.0,88,0.8759
26,sparse,860.0,86,0.8711
27,sparse,460.0,46,0.8663
28,sparse,850.0,85,0.8616
29,sparse,490.0,49,0.8568
30,sparse,620.0,62,0.852
31,sparse,720.0,72,0.8472
32,sparse,550.0,55,0.8425
33,sparse,730.0,73,0.8377
34,sparse,500.0,50,0.8329
35,sparse,760.0,76,0.8281
36,sparse,670.0,67,0.8234
37,sparse,780.0,78,0.8186
38,sparse,590.0,59,0.8138
39,sparse,610.0,61,0.809
40,sparse,480.0,48,0.8043
41,sparse,720.0,72,0.7995
42,sparse,860.0,86,0.7947
43,sparse,590.0,59,0.7899
44,sparse,460.0,46,0.7852
45,sparse,630.0,63,0.7804
46,sparse,460.0,46,0.7756
47,sparse,740.0,74,0.7709
48,sparse,830.0,83,0.7661
49,sparse,470.0,47,0.7613
50,sparse,710.0,71,0.7565
51,sparse,680.0,68,0.7518
52,sparse,760.0,76,0.747
53,sparse,500.0,50,0.7422
54,sparse,500.0,50,0.7374
55,sparse,800.0,80,0.7327
56,sparse,640.0,64,0.7279
57,sparse,790.0,79,0.7231
58,sparse,400.0,40,0.7183
59,sparse,860.0,86,0.7136
60,sparse,730.0,73,0.7088
61,sparse,680.0,68,0.704
62,sparse,680.0,68,0.6992
63,sparse,830.0,83,0.6945
64,sparse,660.0,66,0.6897
65,sparse,740.0,74,0.6849
66,sparse,680.0,68,0.6802
67,sparse,530.0,53,0.6754
68,sparse,730.0,73,0.6706
69,sparse,830.0,83,0.6658
70,sparse,920.0,92,0.6611
71,sparse,670.0,67,0.6563
72,sparse,750.0,75,0.6515
73,sparse,610.0,61,0.6467
74,sparse,610.0,61,0.642
75,sparse,520.0,52,0.6372
76,sparse,520.0,52,0.6324
77,sparse,500.0,50,0.6276
78,sparse,740.0,74,0.6229
79,sparse,680.0,68,0.6181
80,sparse,840.0,84,0.6133
81,sparse,650.0,65,0.6085
82,sparse,500.0,50,0.6038
83,sparse,660.0,66,0.599
84,sparse,650.0,65,0.5942
85,sparse,830.0,83,0.5894
86,sparse,560.0,56,0.5847
87,sparse,550.0,55,0.5799
88,sparse,790.0,79,0.5751
89,sparse,710.0,71,0.5704
90,sparse,660.0,66,0.5656
91,sparse,670.0,67,0.5608
92,sparse,700.0,70,0.556
93,sparse,520.0,52,0.5513
94,sparse,750.0,75,0.5465
95,sparse,550.0,55,0.5417
96,sparse,630.0,63,0.5369
97,sparse,770.0,77,0.5322
98,sparse,500.0,50,0.5274
99,sparse,510.0,51,0.5226
100,sparse,910.0,91,0.5178
101,sparse,740.0,74,0.5131
102,sparse,760.0,76,0.5083
103,sparse,830.0,83,0.5035
104,sparse,770.0,77,0.4987
105,sparse,770.0,77,0.494
106,sparse,480.0,48,0.4892
107,sparse,610.0,61,0.4844
108,sparse,830.0,83,0.4796
109,sparse,640.0,64,0.4749
110,sparse,560.0,56,0.4701
111,sparse,800.0,80,0.4653
112,sparse,750.0,75,0.4606
113,sparse,830.0,83,0.4558
114,sparse,760.0,76,0.451
115,sparse,950.0,95,0.4462
116,sparse,680.0,68,0.4415
117,sparse,960.0,96,0.4367
118,sparse,710.0,71,0.4319
119,sparse,480.0,48,0.4271
120,sparse,730.0,73,0.4224
121,sparse,760.0,76,0.4176
122,sparse,590.0,59,0.4128
123,sparse,730.0,73,0.408
124,sparse,730.0,73,0.4033
125,sparse,700.0,70,0.3985
126,sparse,640.0,64,0.3937
127,sparse,750.0,75,0.3889
128,sparse,930.0,93,0.3842
129,sparse,660.0,66,0.3794
130,sparse,850.0,85,0.3746
131,sparse,760.0,76,0.3698
132,sparse,720.0,72,0.3651
133,sparse,730.0,73,0.3603
134,sparse,500.0,50,0.3555
135,sparse,690.0,69,0.3508
136,sparse,780.0,78,0.346
137,sparse,850.0,85,0.3412
138,sparse,610.0,61,0.3364
139,sparse,720.0,72,0.3317
140,sparse,690.0,69,0.3269
141,sparse,890.0,89,0.3221
142,sparse,770.0,77,0.3173
143,sparse,620.0,62,0.3126
144,sparse,740.0,74,0.3078
145,sparse,880.0,88,0.303
146,sparse,940.0,94,0.2982
147,sparse,640.0,64,0.2935
148,sparse,690.0,69,0.2887
149,sparse,820.0,82,0.2839
150,sparse,340.0,34,0.2791
151,sparse,590.0,59,0.2744
152,sparse,840.0,84,0.2696
153,sparse,690.0,69,0.2648
154,sparse,890.0,89,0.2601
155,sparse,780.0,78,0.2553
156,sparse,830.0,83,0.2505
157,sparse,490.0,49,0.2457
158,sparse,520.0,52,0.241
159,sparse,780.0,78,0.2362
160,sparse,710.0,71,0.2314
161,sparse,650.0,65,0.2266
162,sparse,820.0,82,0.2219
163,sparse,800.0,80,0.2171
164,sparse,510.0,51,0.2123
165,sparse,780.0,78,0.2075
166,sparse,640.0,64,0.2028
167,sparse,520.0,52,0.198
168,sparse,450.0,45,0.1932
169,sparse,600.0,60,0.1884
170,sparse,670.0,67,0.1837
171,sparse,690.0,69,0.1789
172,sparse,860.0,86,0.1741
173,sparse,780.0,78,0.1693
174,sparse,760.0,76,0.1646
175,sparse,890.0,89,0.1598
176,sparse,660.0,66,0.155
177,sparse,680.0,68,0.1503
178,sparse,460.0,46,0.1455
179,sparse,850.0,85,0.1407
180,sparse,780.0,78,0.1359
181,sparse,740.0,74,0.1312
182,sparse,720.0,72,0.1264
183,sparse,680.0,68,0.1216
184,sparse,650.0,65,0.1168
185,sparse,730.0,73,0.1121
186,sparse,770.0,77,0.1073
187,sparse,920.0,92,0.1025
188,sparse,780.0,78,0.0977
189,sparse,580.0,58,0.093
190,sparse,780.0,78,0.0882
191,sparse,710.0,71,0.0834
192,sparse,930.0,93,0.0786
193,sparse,690.0,69,0.0739
194,sparse,900.0,90,0.0691
195,sparse,770.0,77,0.0643
196,sparse,720.0,72,0.0595
197,sparse,800.0,80,0.0548
198,sparse,700.0,70,0.05
199,sparse,1040.0,104,0.05
