brain_type,duration_type,seed,frames,dirt_collected,collection_rate,cat_freeze_count,battery_depletions,final_coverage
subsumption,short,0,1500,60,0.04,0,0,0.1384
subsumption,short,1,1500,75,0.05,0,0,0.172
subsumption,short,2,1500,41,0.027333,0,0,0.1268
subsumption,short,3,1500,82,0.054667,0,0,0.1624
subsumption,short,4,1500,78,0.052,0,0,0.1592
subsumption,short,5,1500,87,0.058,0,0,0.17
subsumption,short,6,1500,84,0.056,0,0,0.18
subsumption,short,7,1500,85,0.056667,0,0,0.1756
subsumption,short,8,1500,76,0.050667,0,0,0.1544
subsumption,short,9,1500,85,0.056667,0,0,0.1628
coverage,short,0,1500,69,0.046,0,0,0.1588
coverage,short,1,1500,48,0.032,0,0,0.1304
coverage,short,2,1500,56,0.037333,0,0,0.128
coverage,short,3,1500,57,0.038,0,0,0.1236
coverage,short,4,1500,62,0.041333,1,0,0.1376
coverage,short,5,1500,89,0.059333,0,0,0.168
coverage,short,6,1500,66,0.044,0,0,0.1316
coverage,short,7,1500,57,0.038,0,0,0.1128
coverage,short,8,1500,72,0.048,0,0,0.1728
coverage,short,9,1500,33,0.022,0,1,0.0856
qlearning,short,0,1500,49,0.032667,0,1,0.1176
qlearning,short,1,1500,81,0.054,2,0,0.1736
qlearning,short,2,1500,54,0.036,0,0,0.1336
qlearning,short,3,1500,92,0.061333,0,0,0.1684
qlearning,short,4,1500,81,0.054,2,0,0.1548
qlearning,short,5,1500,81,0.054,0,0,0.1632
qlearning,short,6,1500,113,0.075333,0,0,0.2116
qlearning,short,7,1500,70,0.046667,0,0,0.1608
qlearning,short,8,1500,91,0.060667,1,0,0.1824
qlearning,short,9,1500,86,0.057333,0,0,0.1876
subsumption,long,0,5000,136,0.0272,0,0,0.3508
subsumption,long,1,5000,154,0.0308,0,0,0.3804
subsumption,long,2,5000,114,0.0228,2,0,0.2988
subsumption,long,3,5000,182,0.0364,0,0,0.4232
subsumption,long,4,5000,132,0.0264,0,0,0.3144
subsumption,long,5,5000,156,0.0312,0,0,0.3756
subsumption,long,6,5000,173,0.0346,0,0,0.4312
subsumption,long,7,5000,137,0.0274,1,0,0.3752
subsumption,long,8,5000,140,0.028,2,0,0.3312
subsumption,long,9,5000,149,0.0298,0,0,0.3596
coverage,long,0,5000,102,0.0204,0,0,0.276
coverage,long,1,5000,72,0.0144,0,0,0.2088
coverage,long,2,5000,111,0.0222,0,0,0.2928
coverage,long,3,5000,106,0.0212,0,0,0.2784
coverage,long,4,5000,70,0.014,1,1,0.1912
coverage,long,5,5000,105,0.021,0,0,0.2448
coverage,long,6,5000,106,0.0212,0,0,0.292
coverage,long,7,5000,103,0.0206,0,0,0.2516
coverage,long,8,5000,109,0.0218,0,0,0.306
coverage,long,9,5000,34,0.0068,0,1,0.1012
qlearning,long,0,5000,106,0.0212,5,2,0.2408
qlearning,long,1,5000,150,0.03,3,0,0.4148
qlearning,long,2,5000,127,0.0254,1,0,0.3312
qlearning,long,3,5000,161,0.0322,0,0,0.384
qlearning,long,4,5000,152,0.0304,3,0,0.3468
qlearning,long,5,5000,130,0.026,1,0,0.324
qlearning,long,6,5000,190,0.038,0,0,0.452
qlearning,long,7,5000,127,0.0254,0,0,0.3444
qlearning,long,8,5000,151,0.0302,1,0,0.38
qlearning,long,9,5000,162,0.0324,0,0,0.3892
