brain_type,duration_type,seed,frame,coverage_pct
subsumption,short,0,100,0.014
subsumption,short,0,200,0.0272
subsumption,short,0,300,0.0364
subsumption,short,0,400,0.042
subsumption,short,0,500,0.0516
subsumption,short,0,600,0.0596
subsumption,short,0,700,0.0668
subsumption,short,0,800,0.0784
subsumption,short,0,900,0.0924
subsumption,short,0,1000,0.1036
subsumption,short,0,1100,0.118
subsumption,short,0,1200,0.1272
subsumption,short,0,1300,0.1296
subsumption,short,0,1400,0.13
subsumption,short,0,1500,0.1384
subsumption,short,1,100,0.0208
subsumption,short,1,200,0.036
subsumption,short,1,300,0.0524
subsumption,short,1,400,0.0648
subsumption,short,1,500,0.074
subsumption,short,1,600,0.0836
subsumption,short,1,700,0.092
subsumption,short,1,800,0.0992
subsumption,short,1,900,0.1044
subsumption,short,1,1000,0.1184
subsumption,short,1,1100,0.1264
subsumption,short,1,1200,0.136
subsumption,short,1,1300,0.1484
subsumption,short,1,1400,0.1608
subsumption,short,1,1500,0.172
subsumption,short,2,100,0.0196
subsumption,short,2,200,0.0268
subsumption,short,2,300,0.042
subsumption,short,2,400,0.0552
subsumption,short,2,500,0.0592
subsumption,short,2,600,0.0644
subsumption,short,2,700,0.0692
subsumption,short,2,800,0.0728
subsumption,short,2,900,0.08
subsumption,short,2,1000,0.092
subsumption,short,2,1100,0.1008
subsumption,short,2,1200,0.106
subsumption,short,2,1300,0.1132
subsumption,short,2,1400,0.1212
subsumption,short,2,1500,0.1268
subsumption,short,3,100,0.02
subsumption,short,3,200,0.0368
subsumption,short,3,300,0.0504
subsumption,short,3,400,0.0596
subsumption,short,3,500,0.0692
subsumption,short,3,600,0.0796
subsumption,short,3,700,0.0904
subsumption,short,3,800,0.1032
subsumption,short,3,900,0.1136
subsumption,short,3,1000,0.118
subsumption,short,3,1100,0.1268
subsumption,short,3,1200,0.1316
subsumption,short,3,1300,0.1416
subsumption,short,3,1400,0.152
subsumption,short,3,1500,0.1624
subsumption,short,4,100,0.0116
subsumption,short,4,200,0.0192
subsumption,short,4,300,0.0304
subsumption,short,4,400,0.0536
subsumption,short,4,500,0.0616
subsumption,short,4,600,0.0728
subsumption,short,4,700,0.0792
subsumption,short,4,800,0.086
subsumption,short,4,900,0.0992
subsumption,short,4,1000,0.1164
subsumption,short,4,1100,0.122
subsumption,short,4,1200,0.1312
subsumption,short,4,1300,0.1364
subsumption,short,4,1400,0.15
subsumption,short,4,1500,0.1592
subsumption,short,5,100,0.0164
subsumption,short,5,200,0.0384
subsumption,short,5,300,0.0504
subsumption,short,5,400,0.0672
subsumption,short,5,500,0.0716
subsumption,short,5,600,0.0856
subsumption,short,5,700,0.0976
subsumption,short,5,800,0.104
subsumption,short,5,900,0.1124
subsumption,short,5,1000,0.122
subsumption,short,5,1100,0.1392
subsumption,short,5,1200,0.1496
subsumption,short,5,1300,0.1576
subsumption,short,5,1400,0.1656
subsumption,short,5,1500,0.17
subsumption,short,6,100,0.026
subsumption,short,6,200,0.0332
subsumption,short,6,300,0.052
subsumption,short,6,400,0.0632
subsumption,short,6,500,0.07
subsumption,short,6,600,0.0796
subsumption,short,6,700,0.0876
subsumption,short,6,800,0.1068
subsumption,short,6,900,0.1172
subsumption,short,6,1000,0.1292
subsumption,short,6,1100,0.1416
subsumption,short,6,1200,0.1552
subsumption,short,6,1300,0.168
subsumption,short,6,1400,0.1728
subsumption,short,6,1500,0.18
subsumption,short,7,100,0.016
subsumption,short,7,200,0.0304
subsumption,short,7,300,0.0432
subsumption,short,7,400,0.0544
subsumption,short,7,500,0.0664
subsumption,short,7,600,0.0784
subsumption,short,7,700,0.0928
subsumption,short,7,800,0.1008
subsumption,short,7,900,0.1144
subsumption,short,7,1000,0.128
subsumption,short,7,1100,0.1396
subsumption,short,7,1200,0.1512
subsumption,short,7,1300,0.1572
subsumption,short,7,1400,0.1688
subsumption,short,7,1500,0.1756
subsumption,short,8,100,0.0164
subsumption,short,8,200,0.0248
subsumption,short,8,300,0.038
subsumption,short,8,400,0.0516
subsumption,short,8,500,0.0612
subsumption,short,8,600,0.074
subsumption,short,8,700,0.0784
subsumption,short,8,800,0.084
subsumption,short,8,900,0.0924
subsumption,short,8,1000,0.104
subsumption,short,8,1100,0.1108
subsumption,short,8,1200,0.13
subsumption,short,8,1300,0.1404
subsumption,short,8,1400,0.1512
subsumption,short,8,1500,0.1544
subsumption,short,9,100,0.0244
subsumption,short,9,200,0.0368
subsumption,short,9,300,0.0492
subsumption,short,9,400,0.06
subsumption,short,9,500,0.0704
subsumption,short,9,600,0.0856
subsumption,short,9,700,0.0976
subsumption,short,9,800,0.1112
subsumption,short,9,900,0.1148
subsumption,short,9,1000,0.1244
subsumption,short,9,1100,0.1308
subsumption,short,9,1200,0.1388
subsumption,short,9,1300,0.1472
subsumption,short,9,1400,0.1524
subsumption,short,9,1500,0.1628
coverage,short,0,100,0.012
coverage,short,0,200,0.032
coverage,short,0,300,0.0488
coverage,short,0,400,0.0572
coverage,short,0,500,0.0636
coverage,short,0,600,0.074
coverage,short,0,700,0.0828
coverage,short,0,800,0.094
coverage,short,0,900,0.1128
coverage,short,0,1000,0.1236
coverage,short,0,1100,0.1352
coverage,short,0,1200,0.1408
coverage,short,0,1300,0.1444
coverage,short,0,1400,0.1552
coverage,short,0,1500,0.1588
coverage,short,1,100,0.0132
coverage,short,1,200,0.028
coverage,short,1,300,0.0416
coverage,short,1,400,0.0464
coverage,short,1,500,0.0528
coverage,short,1,600,0.0624
coverage,short,1,700,0.0744
coverage,short,1,800,0.0848
coverage,short,1,900,0.0964
coverage,short,1,1000,0.1052
coverage,short,1,1100,0.1108
coverage,short,1,1200,0.1168
coverage,short,1,1300,0.1232
coverage,short,1,1400,0.1256
coverage,short,1,1500,0.1304
coverage,short,2,100,0.0228
coverage,short,2,200,0.0404
coverage,short,2,300,0.0536
coverage,short,2,400,0.0728
coverage,short,2,500,0.0736
coverage,short,2,600,0.088
coverage,short,2,700,0.0928
coverage,short,2,800,0.0972
coverage,short,2,900,0.1016
coverage,short,2,1000,0.1068
coverage,short,2,1100,0.1092
coverage,short,2,1200,0.1104
coverage,short,2,1300,0.1156
coverage,short,2,1400,0.1224
coverage,short,2,1500,0.128
coverage,short,3,100,0.022
coverage,short,3,200,0.042
coverage,short,3,300,0.0472
coverage,short,3,400,0.058
coverage,short,3,500,0.0632
coverage,short,3,600,0.0744
coverage,short,3,700,0.0784
coverage,short,3,800,0.0876
coverage,short,3,900,0.0892
coverage,short,3,1000,0.0952
coverage,short,3,1100,0.1044
coverage,short,3,1200,0.1076
coverage,short,3,1300,0.1128
coverage,short,3,1400,0.114
coverage,short,3,1500,0.1236
coverage,short,4,100,0.0216
coverage,short,4,200,0.046
coverage,short,4,300,0.0636
coverage,short,4,400,0.0776
coverage,short,4,500,0.0832
coverage,short,4,600,0.0904
coverage,short,4,700,0.0996
coverage,short,4,800,0.1024
coverage,short,4,900,0.1112
coverage,short,4,1000,0.1172
coverage,short,4,1100,0.1224
coverage,short,4,1200,0.126
coverage,short,4,1300,0.1324
coverage,short,4,1400,0.1372
coverage,short,4,1500,0.1376
coverage,short,5,100,0.0184
coverage,short,5,200,0.0416
coverage,short,5,300,0.0552
coverage,short,5,400,0.0692
