episode,total_reward,dirt_collected,epsilon
0,160.0,61,0.9952
1,20.0,47,0.9905
2,70.0,52,0.9857
3,30.0,48,0.9809
4,220.0,67,0.9761
5,200.0,65,0.9714
6,430.0,88,0.9666
7,510.0,96,0.9618
8,70.0,52,0.957
9,140.0,59,0.9523
10,230.0,68,0.9475
11,220.0,67,0.9427
12,320.0,77,0.9379
13,230.0,68,0.9332
14,120.0,57,0.9284
15,220.0,67,0.9236
16,330.0,78,0.9188
17,390.0,84,0.9141
18,300.0,75,0.9093
19,160.0,61,0.9045
20,320.0,77,0.8997
21,210.0,66,0.895
22,220.0,67,0.8902
23,190.0,64,0.8854
24,220.0,67,0.8807
25,210.0,66,0.8759
26,410.0,86,0.8711
27,90.0,54,0.8663
28,320.0,77,0.8616
29,430.0,88,0.8568
30,320.0,77,0.852
31,260.0,71,0.8472
32,50.0,50,0.8425
33,180.0,63,0.8377
34,160.0,61,0.8329
35,150.0,60,0.8281
36,300.0,75,0.8234
37,360.0,81,0.8186
38,100.0,55,0.8138
39,400.0,85,0.809
40,310.0,76,0.8043
41,160.0,61,0.7995
42,310.0,76,0.7947
43,210.0,66,0.7899
44,330.0,78,0.7852
45,100.0,55,0.7804
46,-10.0,44,0.7756
47,190.0,64,0.7709
48,250.0,70,0.7661
49,390.0,84,0.7613
50,230.0,68,0.7565
51,180.0,65,0.7518
52,300.0,75,0.747
53,140.0,59,0.7422
54,260.0,71,0.7374
55,70.0,52,0.7327
56,210.0,66,0.7279
57,200.0,65,0.7231
58,130.0,58,0.7183
59,110.0,56,0.7136
60,90.0,54,0.7088
61,380.0,83,0.704
62,320.0,77,0.6992
63,140.0,61,0.6945
64,160.0,61,0.6897
65,160.0,63,0.6849
66,190.0,64,0.6802
67,70.0,52,0.6754
68,230.0,68,0.6706
69,210.0,66,0.6658
70,380.0,83,0.6611
71,270.0,72,0.6563
72,250.0,70,0.6515
73,440.0,89,0.6467
74,270.0,72,0.642
75,-50.0,40,0.6372
76,40.0,49,0.6324
77,80.0,53,0.6276
78,190.0,64,0.6229
79,-70.0,38,0.6181
80,30.0,48,0.6133
81,390.0,84,0.6085
82,380.0,83,0.6038
83,190.0,64,0.599
84,110.0,58,0.5942
85,420.0,87,0.5894
86,500.0,95,0.5847
87,230.0,68,0.5799
88,480.0,93,0.5751
89,240.0,69,0.5704
90,430.0,88,0.5656
91,290.0,74,0.5608
92,580.0,103,0.556
93,330.0,78,0.5513
94,230.0,70,0.5465
95,310.0,76,0.5417
96,70.0,54,0.5369
97,470.0,92,0.5322
98,320.0,77,0.5274
99,380.0,83,0.5226
100,260.0,71,0.5178
101,280.0,73,0.5131
102,220.0,67,0.5083
103,400.0,85,0.5035
104,40.0,53,0.4987
105,360.0,81,0.494
106,350.0,80,0.4892
107,420.0,87,0.4844
108,140.0,61,0.4796
109,-50.0,42,0.4749
110,310.0,76,0.4701
111,160.0,61,0.4653
112,420.0,87,0.4606
113,210.0,66,0.4558
114,300.0,75,0.451
115,340.0,79,0.4462
116,100.0,55,0.4415
117,150.0,60,0.4367
118,190.0,66,0.4319
119,150.0,60,0.4271
120,410.0,86,0.4224
121,100.0,55,0.4176
122,100.0,55,0.4128
123,550.0,100,0.408
124,360.0,81,0.4033
125,160.0,61,0.3985
126,400.0,85,0.3937
127,290.0,74,0.3889
128,210.0,66,0.3842
129,260.0,71,0.3794
130,330.0,78,0.3746
131,310.0,76,0.3698
132,220.0,67,0.3651
133,140.0,59,0.3603
134,160.0,65,0.3555
135,370.0,82,0.3508
136,100.0,55,0.346
137,340.0,79,0.3412
138,140.0,63,0.3364
139,460.0,91,0.3317
140,410.0,86,0.3269
141,300.0,75,0.3221
142,460.0,91,0.3173
143,190.0,64,0.3126
144,590.0,104,0.3078
145,310.0,76,0.303
146,370.0,82,0.2982
147,280.0,73,0.2935
148,440.0,89,0.2887
149,220.0,67,0.2839
150,70.0,52,0.2791
151,290.0,74,0.2744
152,500.0,95,0.2696
153,230.0,68,0.2648
154,230.0,68,0.2601
155,410.0,86,0.2553
156,530.0,98,0.2505
157,280.0,73,0.2457
158,580.0,103,0.241
159,190.0,64,0.2362
160,350.0,80,0.2314
161,290.0,74,0.2266
162,240.0,69,0.2219
163,210.0,66,0.2171
164,290.0,74,0.2123
165,310.0,76,0.2075
166,-30.0,42,0.2028
167,240.0,69,0.198
168,550.0,100,0.1932
169,450.0,90,0.1884
170,330.0,78,0.1837
171,70.0,52,0.1789
172,250.0,70,0.1741
173,470.0,92,0.1693
174,420.0,87,0.1646
175,290.0,74,0.1598
176,160.0,61,0.155
177,250.0,70,0.1503
178,180.0,63,0.1455
179,110.0,56,0.1407
180,360.0,81,0.1359
181,190.0,64,0.1312
182,290.0,74,0.1264
183,250.0,70,0.1216
184,350.0,80,0.1168
185,480.0,93,0.1121
186,320.0,77,0.1073
187,120.0,61,0.1025
188,400.0,85,0.0977
189,60.0,53,0.093
190,290.0,74,0.0882
191,330.0,78,0.0834
192,470.0,92,0.0786
193,330.0,78,0.0739
194,370.0,82,0.0691
195,640.0,109,0.0643
196,520.0,97,0.0595
197,520.0,97,0.0548
198,310.0,76,0.05
199,150.0,60,0.05
