brain_type,seed,frames,training_episodes,dirt_collected,collection_rate,cat_freeze_count,battery_depletions
qlearning,0,1500,25,63,0.042,0,1
qlearning,1,1500,25,105,0.07,0,0
qlearning,2,1500,25,84,0.056,1,0
qlearning,3,1500,25,104,0.069333,0,0
qlearning,4,1500,25,80,0.053333,1,0
qlearning,5,1500,25,69,0.046,0,0
qlearning,6,1500,25,102,0.068,1,0
qlearning,7,1500,25,80,0.053333,0,0
qlearning,8,1500,25,92,0.061333,0,0
qlearning,9,1500,25,87,0.058,0,0
qlearning,0,1500,50,74,0.049333,0,0
qlearning,1,1500,50,86,0.057333,0,0
qlearning,2,1500,50,65,0.043333,0,0
qlearning,3,1500,50,74,0.049333,0,0
qlearning,4,1500,50,70,0.046667,1,0
qlearning,5,1500,50,103,0.068667,0,0
qlearning,6,1500,50,89,0.059333,0,0
qlearning,7,1500,50,82,0.054667,0,0
qlearning,8,1500,50,74,0.049333,0,0
qlearning,9,1500,50,50,0.033333,0,0
qlearning,0,1500,100,88,0.058667,1,0
qlearning,1,1500,100,87,0.058,0,0
qlearning,2,1500,100,85,0.056667,0,0
qlearning,3,1500,100,99,0.066,0,0
qlearning,4,1500,100,101,0.067333,2,0
qlearning,5,1500,100,84,0.056,0,0
qlearning,6,1500,100,101,0.067333,3,0
qlearning,7,1500,100,92,0.061333,0,0
qlearning,8,1500,100,78,0.052,0,0
qlearning,9,1500,100,71,0.047333,0,0
qlearning,0,1500,150,74,0.049333,0,0
qlearning,1,1500,150,73,0.048667,0,0
qlearning,2,1500,150,49,0.032667,0,0
qlearning,3,1500,150,110,0.073333,0,0
qlearning,4,1500,150,86,0.057333,1,0
qlearning,5,1500,150,69,0.046,1,0
qlearning,6,1500,150,93,0.062,1,0
qlearning,7,1500,150,97,0.064667,0,0
qlearning,8,1500,150,79,0.052667,0,0
qlearning,9,1500,150,48,0.032,0,2
qlearning,0,1500,200,49,0.032667,0,1
qlearning,1,1500,200,81,0.054,2,0
qlearning,2,1500,200,54,0.036,0,0
qlearning,3,1500,200,92,0.061333,0,0
qlearning,4,1500,200,81,0.054,2,0
qlearning,5,1500,200,81,0.054,0,0
qlearning,6,1500,200,113,0.075333,0,0
qlearning,7,1500,200,70,0.046667,0,0
qlearning,8,1500,200,91,0.060667,1,0
qlearning,9,1500,200,86,0.057333,0,0
